2026-03-04 15:08:33.572994 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\10th mark sheet.pdf -> C:\Users\vivek\Downloads\articles\10th mark sheet.pdf
2026-03-04 15:08:33.635996 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\DS PRACTICALSdone.docx -> C:\Users\vivek\Downloads\articles\DS PRACTICALSdone.docx
2026-03-04 15:08:33.638981 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\DS PRACTICALSdone.pdf -> C:\Users\vivek\Downloads\code\DS PRACTICALSdone.pdf
2026-03-04 15:08:33.642021 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Efficient_Prediction_of_Cardiovascular_Disease_Using_Machine_Learning_Algorithms_With_Relief_and_LASSO_Feature_Selection_Techniques.pdf -> C:\Users\vivek\Downloads\articles\Efficient_Prediction_of_Cardiovascular_Disease_Using_Machine_Learning_Algorithms_With_Relief_and_LASSO_Feature_Selection_Techniques.pdf
2026-03-04 15:08:33.643994 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\EH_JOURNAL_YASIN.docx -> C:\Users\vivek\Downloads\articles\EH_JOURNAL_YASIN.docx
2026-03-04 15:08:33.646981 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\EH_JOURNAL_YASIN.pdf -> C:\Users\vivek\Downloads\email\EH_JOURNAL_YASIN.pdf
2026-03-04 15:08:33.648982 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\EKSHETRA S2 NEW.pdf -> C:\Users\vivek\Downloads\articles\EKSHETRA S2 NEW.pdf
2026-03-04 15:08:33.651024 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\final_gantt_chart.png -> C:\Users\vivek\Downloads\images\final_gantt_chart.png
2026-03-04 15:08:33.653001 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\flow of project.png -> C:\Users\vivek\Downloads\images\flow of project.png
2026-03-04 15:08:33.654052 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\flow_of_project.png -> C:\Users\vivek\Downloads\images\flow_of_project.png
2026-03-04 15:08:33.656016 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\gantt c hart.png -> C:\Users\vivek\Downloads\images\gantt c hart.png
2026-03-04 15:08:33.657048 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\gantt_chart.png -> C:\Users\vivek\Downloads\images\gantt_chart.png
2026-03-04 15:08:33.659009 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\gantt_chart1.png -> C:\Users\vivek\Downloads\images\gantt_chart1.png
2026-03-04 15:08:33.661020 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\gmail_auth.json -> C:\Users\vivek\Downloads\others\gmail_auth.json
2026-03-04 15:08:33.663008 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Graduation.jpg -> C:\Users\vivek\Downloads\images\Graduation.jpg
2026-03-04 15:08:33.665022 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\harvard.wav.zip -> C:\Users\vivek\Downloads\archives\harvard.wav.zip
2026-03-04 15:08:33.667049 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart (1).csv -> C:\Users\vivek\Downloads\others\heart (1).csv
2026-03-04 15:08:33.669564 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart (2).csv -> C:\Users\vivek\Downloads\others\heart (2).csv
2026-03-04 15:08:33.671564 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart (3).csv -> C:\Users\vivek\Downloads\others\heart (3).csv
2026-03-04 15:08:33.673575 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart+disease.zip -> C:\Users\vivek\Downloads\archives\heart+disease.zip
2026-03-04 15:08:33.674572 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart_2022_no_nans - heart_2022_no_nans.csv -> C:\Users\vivek\Downloads\others\heart_2022_no_nans - heart_2022_no_nans.csv
2026-03-04 15:08:33.676605 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart_disease.csv -> C:\Users\vivek\Downloads\others\heart_disease.csv
2026-03-04 15:08:33.678564 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart_disease_cleaned.csv -> C:\Users\vivek\Downloads\others\heart_disease_cleaned.csv
2026-03-04 15:08:33.680565 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart_disease_cleaned_unique.csv -> C:\Users\vivek\Downloads\others\heart_disease_cleaned_unique.csv
2026-03-04 15:08:33.682564 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Heart_Disease_Dataset.csv -> C:\Users\vivek\Downloads\others\Heart_Disease_Dataset.csv
2026-03-04 15:08:33.684572 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart_disease_million_rows.csv -> C:\Users\vivek\Downloads\others\heart_disease_million_rows.csv
2026-03-04 15:08:33.687564 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart_disease_model_ready.csv -> C:\Users\vivek\Downloads\others\heart_disease_model_ready.csv
2026-03-04 15:08:33.689577 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart_Disease_Testing_Dataset.csv -> C:\Users\vivek\Downloads\others\heart_Disease_Testing_Dataset.csv
2026-03-04 15:08:33.690604 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart_disease_titan_ready.csv -> C:\Users\vivek\Downloads\others\heart_disease_titan_ready.csv
2026-03-04 15:08:33.692574 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Heart_Disease_Training_Dataset.csv -> C:\Users\vivek\Downloads\others\Heart_Disease_Training_Dataset.csv
2026-03-04 15:08:33.694574 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\heart_disease_uci.csv -> C:\Users\vivek\Downloads\others\heart_disease_uci.csv
2026-03-04 15:08:33.695571 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\high_level_activity.png -> C:\Users\vivek\Downloads\images\high_level_activity.png
2026-03-04 15:08:33.697606 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\ICICT 2026 PPT Formate.pptx -> C:\Users\vivek\Downloads\articles\ICICT 2026 PPT Formate.pptx
2026-03-04 15:08:33.699580 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\icict-2026-conference-paper-template-K3Znp5vPSGh2FZGv.docx -> C:\Users\vivek\Downloads\articles\icict-2026-conference-paper-template-K3Znp5vPSGh2FZGv.docx
2026-03-04 15:08:33.700605 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\INDEX_EH.pdf -> C:\Users\vivek\Downloads\articles\INDEX_EH.pdf
2026-03-04 15:08:33.702608 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\IT_4713_4712_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.docx -> C:\Users\vivek\Downloads\articles\IT_4713_4712_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.docx
2026-03-04 15:08:33.704570 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Journal Certificate Universal Sem 6.docx -> C:\Users\vivek\Downloads\articles\Journal Certificate Universal Sem 6.docx
2026-03-04 15:08:33.705571 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Journal Certificate Universal Sem 6.pdf -> C:\Users\vivek\Downloads\articles\Journal Certificate Universal Sem 6.pdf
2026-03-04 15:08:33.707565 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\literature review (1).docx -> C:\Users\vivek\Downloads\articles\literature review (1).docx
2026-03-04 15:08:33.709572 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\literature review.docx -> C:\Users\vivek\Downloads\articles\literature review.docx
2026-03-04 15:08:33.711606 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\mag_embeddings.h5 -> C:\Users\vivek\Downloads\others\mag_embeddings.h5
2026-03-04 15:08:33.712606 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Marksheet First Year.jpg -> C:\Users\vivek\Downloads\images\Marksheet First Year.jpg
2026-03-04 15:08:33.714563 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Marksheet First Year.png -> C:\Users\vivek\Downloads\images\Marksheet First Year.png
2026-03-04 15:08:33.715570 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\MarksheetSecond year.jpeg -> C:\Users\vivek\Downloads\images\MarksheetSecond year.jpeg
2026-03-04 15:08:33.717571 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Methodology.docx -> C:\Users\vivek\Downloads\articles\Methodology.docx
2026-03-04 15:08:33.719574 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\mongodb-windows-x86_64-8.2.5-signed.msi -> C:\Users\vivek\Downloads\installers\mongodb-windows-x86_64-8.2.5-signed.msi
2026-03-04 15:08:33.721565 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\MU_TYBSC_CS_SYLLABUS_2023.pdf -> C:\Users\vivek\Downloads\articles\MU_TYBSC_CS_SYLLABUS_2023.pdf
2026-03-04 15:08:33.723565 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\NLP Report.docx -> C:\Users\vivek\Downloads\articles\NLP Report.docx
2026-03-04 15:08:33.725564 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\NLP Report.pdf -> C:\Users\vivek\Downloads\articles\NLP Report.pdf
2026-03-04 15:08:33.726563 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\node-v24.13.0-x64.msi -> C:\Users\vivek\Downloads\installers\node-v24.13.0-x64.msi
2026-03-04 15:08:33.728564 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Postman (x64).exe -> C:\Users\vivek\Downloads\installers\Postman (x64).exe
2026-03-04 15:08:33.730563 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\processed_cleveland.csv -> C:\Users\vivek\Downloads\others\processed_cleveland.csv
2026-03-04 15:08:33.732562 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\process_flow.png -> C:\Users\vivek\Downloads\images\process_flow.png
2026-03-04 15:08:33.734578 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\project.drawio.png -> C:\Users\vivek\Downloads\images\project.drawio.png
2026-03-04 15:08:33.736562 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\ps.pdf -> C:\Users\vivek\Downloads\articles\ps.pdf
2026-03-04 15:08:33.738564 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\python-3.11.5-amd64.exe -> C:\Users\vivek\Downloads\installers\python-3.11.5-amd64.exe
2026-03-04 15:08:33.739563 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\research_data (1).h5 -> C:\Users\vivek\Downloads\others\research_data (1).h5
2026-03-04 15:08:33.741563 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\research_data.h5 -> C:\Users\vivek\Downloads\others\research_data.h5
2026-03-04 15:08:33.742562 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Result & Discussion.docx -> C:\Users\vivek\Downloads\articles\Result & Discussion.docx
2026-03-04 15:08:33.745563 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\RP102_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.pdf -> C:\Users\vivek\Downloads\articles\RP102_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.pdf
2026-03-04 15:08:33.746562 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\RP102_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.pptx -> C:\Users\vivek\Downloads\articles\RP102_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.pptx
2026-03-04 15:08:33.747564 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\RP108_Deep Ensemble Hybrid Model for Real-Time HAB Risk Assessment.pptx -> C:\Users\vivek\Downloads\articles\RP108_Deep Ensemble Hybrid Model for Real-Time HAB Risk Assessment.pptx
2026-03-04 15:08:33.749562 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\rpa page.pdf -> C:\Users\vivek\Downloads\articles\rpa page.pdf
2026-03-04 15:08:33.751565 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\SETFILE (1).png -> C:\Users\vivek\Downloads\images\SETFILE (1).png
2026-03-04 15:08:33.752564 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\SETFILE.png -> C:\Users\vivek\Downloads\images\SETFILE.png
2026-03-04 15:08:33.754570 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Softmax-Function-in-Deep-Learning (1).pptx -> C:\Users\vivek\Downloads\articles\Softmax-Function-in-Deep-Learning (1).pptx
2026-03-04 15:08:33.755569 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Softmax-Function-in-Deep-Learning.pptx -> C:\Users\vivek\Downloads\articles\Softmax-Function-in-Deep-Learning.pptx
2026-03-04 15:08:33.757570 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\statlog+heart.zip -> C:\Users\vivek\Downloads\archives\statlog+heart.zip
2026-03-04 15:08:33.759569 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Subscriptions-Data-20260111150240.csv -> C:\Users\vivek\Downloads\others\Subscriptions-Data-20260111150240.csv
2026-03-04 15:08:33.761569 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\systemarchitecture.png -> C:\Users\vivek\Downloads\images\systemarchitecture.png
2026-03-04 15:08:33.762569 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\system_architecture.png -> C:\Users\vivek\Downloads\images\system_architecture.png
2026-03-04 15:08:33.763570 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\Titan model.pdf -> C:\Users\vivek\Downloads\articles\Titan model.pdf
2026-03-04 15:08:33.765569 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\WSD_CE2__Presentation.pptx -> C:\Users\vivek\Downloads\articles\WSD_CE2__Presentation.pptx
2026-03-04 15:08:33.769090 | 20260304_150833 |  MOVE  | C:\Users\vivek\Downloads\XI-IT.pdf -> C:\Users\vivek\Downloads\articles\XI-IT.pdf
2026-03-04 15:10:46.339092 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\XI-IT.pdf -> C:\Users\vivek\Downloads\XI-IT.pdf
2026-03-04 15:10:46.343089 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\WSD_CE2__Presentation.pptx -> C:\Users\vivek\Downloads\WSD_CE2__Presentation.pptx
2026-03-04 15:10:46.345132 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\Titan model.pdf -> C:\Users\vivek\Downloads\Titan model.pdf
2026-03-04 15:10:46.347130 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\images\system_architecture.png -> C:\Users\vivek\Downloads\system_architecture.png
2026-03-04 15:10:46.349091 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\images\systemarchitecture.png -> C:\Users\vivek\Downloads\systemarchitecture.png
2026-03-04 15:10:46.351092 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\others\Subscriptions-Data-20260111150240.csv -> C:\Users\vivek\Downloads\Subscriptions-Data-20260111150240.csv
2026-03-04 15:10:46.353117 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\archives\statlog+heart.zip -> C:\Users\vivek\Downloads\statlog+heart.zip
2026-03-04 15:10:46.355136 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\Softmax-Function-in-Deep-Learning.pptx -> C:\Users\vivek\Downloads\Softmax-Function-in-Deep-Learning.pptx
2026-03-04 15:10:46.358092 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\Softmax-Function-in-Deep-Learning (1).pptx -> C:\Users\vivek\Downloads\Softmax-Function-in-Deep-Learning (1).pptx
2026-03-04 15:10:46.360092 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\images\SETFILE.png -> C:\Users\vivek\Downloads\SETFILE.png
2026-03-04 15:10:46.363097 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\images\SETFILE (1).png -> C:\Users\vivek\Downloads\SETFILE (1).png
2026-03-04 15:10:46.367101 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\rpa page.pdf -> C:\Users\vivek\Downloads\rpa page.pdf
2026-03-04 15:10:46.371092 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\RP108_Deep Ensemble Hybrid Model for Real-Time HAB Risk Assessment.pptx -> C:\Users\vivek\Downloads\RP108_Deep Ensemble Hybrid Model for Real-Time HAB Risk Assessment.pptx
2026-03-04 15:10:46.374091 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\RP102_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.pptx -> C:\Users\vivek\Downloads\RP102_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.pptx
2026-03-04 15:10:46.376089 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\RP102_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.pdf -> C:\Users\vivek\Downloads\RP102_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.pdf
2026-03-04 15:10:46.378089 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\Result & Discussion.docx -> C:\Users\vivek\Downloads\Result & Discussion.docx
2026-03-04 15:10:46.380090 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\others\research_data.h5 -> C:\Users\vivek\Downloads\research_data.h5
2026-03-04 15:10:46.383093 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\others\research_data (1).h5 -> C:\Users\vivek\Downloads\research_data (1).h5
2026-03-04 15:10:46.386090 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\installers\python-3.11.5-amd64.exe -> C:\Users\vivek\Downloads\python-3.11.5-amd64.exe
2026-03-04 15:10:46.389091 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\ps.pdf -> C:\Users\vivek\Downloads\ps.pdf
2026-03-04 15:10:46.391091 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\images\project.drawio.png -> C:\Users\vivek\Downloads\project.drawio.png
2026-03-04 15:10:46.393100 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\images\process_flow.png -> C:\Users\vivek\Downloads\process_flow.png
2026-03-04 15:10:46.395088 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\others\processed_cleveland.csv -> C:\Users\vivek\Downloads\processed_cleveland.csv
2026-03-04 15:10:46.397089 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\installers\Postman (x64).exe -> C:\Users\vivek\Downloads\Postman (x64).exe
2026-03-04 15:10:46.400089 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\installers\node-v24.13.0-x64.msi -> C:\Users\vivek\Downloads\node-v24.13.0-x64.msi
2026-03-04 15:10:46.402089 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\NLP Report.pdf -> C:\Users\vivek\Downloads\NLP Report.pdf
2026-03-04 15:10:46.404091 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\NLP Report.docx -> C:\Users\vivek\Downloads\NLP Report.docx
2026-03-04 15:10:46.406094 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\MU_TYBSC_CS_SYLLABUS_2023.pdf -> C:\Users\vivek\Downloads\MU_TYBSC_CS_SYLLABUS_2023.pdf
2026-03-04 15:10:46.408096 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\installers\mongodb-windows-x86_64-8.2.5-signed.msi -> C:\Users\vivek\Downloads\mongodb-windows-x86_64-8.2.5-signed.msi
2026-03-04 15:10:46.410103 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\Methodology.docx -> C:\Users\vivek\Downloads\Methodology.docx
2026-03-04 15:10:46.412113 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\images\MarksheetSecond year.jpeg -> C:\Users\vivek\Downloads\MarksheetSecond year.jpeg
2026-03-04 15:10:46.414107 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\images\Marksheet First Year.png -> C:\Users\vivek\Downloads\Marksheet First Year.png
2026-03-04 15:10:46.417117 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\images\Marksheet First Year.jpg -> C:\Users\vivek\Downloads\Marksheet First Year.jpg
2026-03-04 15:10:46.419091 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\others\mag_embeddings.h5 -> C:\Users\vivek\Downloads\mag_embeddings.h5
2026-03-04 15:10:46.421093 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\literature review.docx -> C:\Users\vivek\Downloads\literature review.docx
2026-03-04 15:10:46.424160 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\literature review (1).docx -> C:\Users\vivek\Downloads\literature review (1).docx
2026-03-04 15:10:46.426096 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\Journal Certificate Universal Sem 6.pdf -> C:\Users\vivek\Downloads\Journal Certificate Universal Sem 6.pdf
2026-03-04 15:10:46.428091 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\Journal Certificate Universal Sem 6.docx -> C:\Users\vivek\Downloads\Journal Certificate Universal Sem 6.docx
2026-03-04 15:10:46.430091 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\IT_4713_4712_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.docx -> C:\Users\vivek\Downloads\IT_4713_4712_An Intelligent Heart Disease Prediction System Using TiTAN-MAG on Real-Time Clinical Data.docx
2026-03-04 15:10:46.432092 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\INDEX_EH.pdf -> C:\Users\vivek\Downloads\INDEX_EH.pdf
2026-03-04 15:10:46.434128 |  20260304_150833  |  REMOVED  | C:\Users\vivek\Downloads\articles\icict-2026-conference-paper-template-K3Znp5vPSGh2FZGv.docx -> C:\Users\vivek\Downloads\icict-2026-conference-paper-template-K3Znp5vPSGh2FZGv.docx
